traffic_mean,traffic_std,packet_rate,packet_variance,active_hosts,traffic_entropy,label,AI_MSE,AI_Prediction,Result,Distance_From_Threshold
-62.667,8.078,1.8,65.25,9,3.359,0,0.00205839648613907,0,Đúng,-0.10300660351386094
-33.25,4.854,4.0,23.566,20,3.338,1,0.17483578280084644,1,Đúng,0.06977078280084643
-58.545,5.854,2.2,34.273,11,3.511,1,0.008752641663052297,0,Sai,-0.0963123583369477
-63.333,8.217,2.4,67.515,12,3.281,0,0.0010905398778508196,0,Đúng,-0.10397446012214918
-66.167,9.283,1.2,86.167,6,3.417,0,0.004576286444816383,0,Đúng,-0.10048871355518363
-65.444,7.161,1.8,51.278,9,3.422,0,0.0015298254461288219,0,Đúng,-0.10353517455387118
-63.933,7.769,3.0,60.352,15,3.409,0,0.0022279188380187223,0,Đúng,-0.10283708116198129
-61.667,8.533,3.0,72.81,15,3.34,0,0.0019060182460392818,0,Đúng,-0.10315898175396072
-60.333,7.005,1.2,49.067,6,3.315,0,0.0012560426834142136,0,Đúng,-0.10380895731658579
-66.9,7.578,2.0,57.433,10,3.435,0,0.0036874677931916394,0,Đúng,-0.10137753220680837
-61.571,9.693,1.4,93.952,7,3.304,0,0.00530581025564084,0,Đúng,-0.09975918974435917
-66.091,7.661,2.2,58.691,11,3.298,0,0.0075956091855938985,0,Đúng,-0.0974693908144061
-65.143,5.146,1.4,26.476,7,3.31,0,0.005646580044477072,0,Đúng,-0.09941841995552293
-63.692,8.92,2.6,79.564,13,3.369,0,0.0021948210895307517,0,Đúng,-0.10287017891046925
-64.4,5.302,3.0,28.114,15,3.413,0,0.00416723547561972,0,Đúng,-0.10089776452438029
-63.0,8.649,1.2,74.8,6,3.264,0,0.002590756406290247,0,Đúng,-0.10247424359370975
-62.786,8.631,2.8,74.489,14,3.414,0,0.0009424421786941251,0,Đúng,-0.10412255782130588
-62.182,7.96,2.2,63.364,11,3.381,0,0.00042687557304849213,0,Đúng,-0.10463812442695151
-58.778,6.778,1.8,45.944,9,3.408,0,0.0026893917028843156,0,Đúng,-0.10237560829711569
-61.5,10.095,1.2,101.9,6,3.371,0,0.0037351632347970543,0,Đúng,-0.10132983676520295
-63.4,7.635,1.0,58.3,5,3.272,0,0.006934358171671224,0,Đúng,-0.09813064182832879
-68.125,5.111,1.6,26.125,8,3.358,0,0.005365594978138037,0,Đúng,-0.09969940502186198
-59.917,5.9,2.4,34.811,12,3.404,1,0.003832439426455386,0,Sai,-0.10123256057354461
-57.667,7.339,1.2,53.867,6,3.315,0,0.0066506007398827284,0,Đúng,-0.09841439926011727
-63.333,6.638,2.4,44.061,12,3.467,0,0.008163220747281935,0,Đúng,-0.09690177925271808
-63.083,7.704,2.4,59.356,12,3.406,0,0.0012386372724719225,0,Đúng,-0.10382636272752808
-62.533,7.745,3.0,59.981,15,3.373,0,0.0024894604163890562,0,Đúng,-0.10257553958361094
-37.78,4.628,11.8,21.416,59,3.287,1,1.6376443812472736,1,Đúng,1.5325793812472737
-62.222,4.738,1.8,22.444,9,3.31,0,0.012139080701031367,0,Đúng,-0.09292591929896864
-60.083,5.946,2.4,35.356,12,3.443,1,0.0049644813218748885,0,Sai,-0.10010051867812511
-61.786,6.908,2.8,47.72,14,3.401,0,0.0012496717243092464,0,Đúng,-0.10381532827569076
-65.125,6.728,1.6,45.268,8,3.432,0,0.001902256580721501,0,Đúng,-0.1031627434192785
-61.727,5.605,2.2,31.418,11,3.365,1,0.0017488882447362394,0,Sai,-0.10331611175526377
-61.833,10.226,1.2,104.567,6,3.363,0,0.005503250736997165,0,Đúng,-0.09956174926300285
-63.8,7.803,3.0,60.886,15,3.376,0,0.002852499484723275,0,Đúng,-0.10221250051527674
-63.167,9.239,1.2,85.367,6,3.328,0,0.0014540662437010304,0,Đúng,-0.10361093375629897
-63.333,8.047,1.8,64.75,9,3.341,0,0.0012112488688451265,0,Đúng,-0.10385375113115487
-59.333,7.09,1.2,50.267,6,3.376,0,0.0023543030283771616,0,Đúng,-0.10271069697162284
-62.833,8.424,1.2,70.967,6,3.44,0,0.0017714508102623322,0,Đúng,-0.10329354918973767
-37.0,4.406,17.8,19.409,89,3.269,1,5.431107331040773,1,Đúng,5.326042331040774
-60.889,8.824,1.8,77.861,9,3.439,0,0.002818361297146923,0,Đúng,-0.10224663870285308
-62.714,8.175,2.8,66.835,14,3.361,0,0.0011174173022514091,0,Đúng,-0.10394758269774859
-32.857,5.789,2.8,33.516,14,3.392,1,0.2322383630336268,1,Đúng,0.1271733630336268
-57.875,6.999,1.6,48.982,8,3.462,0,0.0038623941214837357,0,Đúng,-0.10120260587851627
-61.6,4.402,2.0,19.378,10,3.392,0,0.005647981656230602,0,Đúng,-0.0994170183437694
-63.4,7.347,3.0,53.971,15,3.425,0,0.004446416933748843,0,Đúng,-0.10061858306625117
-59.4,4.827,1.0,23.3,5,3.447,0,0.0025685663929918435,0,Đúng,-0.10249643360700816
-63.769,7.037,2.6,49.526,13,3.392,0,0.0005336848934843745,0,Đúng,-0.10453131510651563
-61.364,6.423,2.2,41.255,11,3.325,0,0.0014723125740556907,0,Đúng,-0.10359268742594431
-60.923,4.958,2.6,24.577,13,3.268,0,0.00842992478483155,0,Đúng,-0.09663507521516845
-59.571,6.936,2.8,48.11,14,3.372,0,0.0021645980173359545,0,Đúng,-0.10290040198266405
-59.0,6.723,1.2,45.2,6,3.411,0,0.002163230537264346,0,Đúng,-0.10290176946273566
-37.403,4.476,13.4,20.032,67,3.305,1,2.3952835882546757,1,Đúng,2.2902185882546755
-59.111,6.604,1.8,43.611,9,3.457,0,0.0027536564931011334,0,Đúng,-0.10231134350689887
-64.571,7.115,1.4,50.619,7,3.352,0,0.0010525691535434045,0,Đúng,-0.1040124308464566
-62.786,6.796,2.8,46.181,14,3.434,0,0.0032543429322821013,0,Đúng,-0.1018106570677179
-64.889,6.791,1.8,46.111,9,3.359,0,0.001683458227369084,0,Đúng,-0.10338154177263092
-62.846,7.221,2.6,52.141,13,3.472,0,0.006383229416565683,0,Đúng,-0.09868177058343432
-65.5,7.012,2.0,49.167,10,3.435,0,0.0029995396605383743,0,Đúng,-0.10206546033946164
-61.222,7.934,1.8,62.944,9,3.344,0,0.0007639643788091766,0,Đúng,-0.10430103562119084
-64.143,6.719,1.4,45.143,7,3.389,0,0.0012701225304354625,0,Đúng,-0.10379487746956455
-65.462,8.161,2.6,66.603,13,3.346,0,0.004050469287103258,0,Đúng,-0.10101453071289675
-63.727,6.958,2.2,48.418,11,3.377,0,0.0006627920594595348,0,Đúng,-0.10440220794054048
-67.111,5.442,1.8,29.611,9,3.39,0,0.0061290238272536796,0,Đúng,-0.09893597617274633
-62.545,8.982,2.2,80.673,11,3.339,0,0.0024560746997845276,0,Đúng,-0.10260892530021548
-61.25,7.851,1.6,61.643,8,3.537,0,0.004662062410119856,0,Đúng,-0.10040293758988014
-61.5,7.892,1.6,62.286,8,3.464,0,0.0012932240321164611,0,Đúng,-0.10377177596788355
-59.778,4.944,1.8,24.444,9,3.314,1,0.006501567032835564,0,Sai,-0.09856343296716444
-58.909,6.774,2.2,45.891,11,3.45,0,0.003216200194609739,0,Đúng,-0.10184879980539027
-62.8,9.365,1.0,87.7,5,3.275,0,0.0034469547587671827,0,Đúng,-0.10161804524123283
-67.714,8.674,1.4,75.238,7,3.374,0,0.009109047962143351,0,Đúng,-0.09595595203785666
-62.0,7.803,2.0,60.889,10,3.405,0,0.0007307154824322378,0,Đúng,-0.10433428451756777
-61.889,5.349,1.8,28.611,9,3.387,0,0.002074693823732547,0,Đúng,-0.10299030617626746
-61.111,8.536,1.8,72.861,9,3.299,0,0.0005330725000629335,0,Đúng,-0.10453192749993707
-33.571,4.071,2.8,16.571,14,3.338,1,0.12136417301520629,1,Đúng,0.01629917301520628
-59.857,9.026,1.4,81.476,7,3.345,0,0.0018415498542290033,0,Đúng,-0.103223450145771
-61.4,8.897,2.0,79.156,10,3.378,0,0.0015944305514910499,0,Đúng,-0.10347056944850895
-63.625,6.589,1.6,43.411,8,3.43,0,0.0015595160579376652,0,Đúng,-0.10350548394206234
-61.5,7.251,1.6,52.571,8,3.481,0,0.0012740260659474187,0,Đúng,-0.1037909739340526
-63.0,7.884,2.8,62.154,14,3.347,0,0.00036841657551375264,0,Đúng,-0.10469658342448625
-63.833,9.326,1.2,86.967,6,3.291,0,0.0033898008325343467,0,Đúng,-0.10167519916746566
-61.417,8.775,2.4,76.992,12,3.392,0,0.002645894622357131,0,Đúng,-0.10241910537764287
-63.857,7.669,1.4,58.81,7,3.411,0,0.0008775914087772634,0,Đúng,-0.10418740859122275
-58.2,7.294,1.0,53.2,5,3.333,0,0.005230497388555757,0,Đúng,-0.09983450261144425
-62.833,4.167,1.2,17.367,6,3.414,0,0.004355440055089674,0,Đúng,-0.10070955994491033
-63.429,7.48,1.4,55.952,7,3.389,0,0.0011641668727131436,0,Đúng,-0.10390083312728686
-60.167,7.334,2.4,53.788,12,3.389,0,0.0012097594630989053,0,Đúng,-0.1038552405369011
-61.25,7.485,2.4,56.023,12,3.355,0,0.0009702667821067041,0,Đúng,-0.1040947332178933
-63.889,7.356,1.8,54.111,9,3.339,0,0.0007586085316805073,0,Đúng,-0.10430639146831949
-62.9,8.595,2.0,73.878,10,3.287,0,0.003992150504165721,0,Đúng,-0.10107284949583428
-65.778,8.541,1.8,72.944,9,3.294,0,0.0031568387751395818,0,Đúng,-0.10190816122486042
-61.5,6.188,1.6,38.286,8,3.447,0,0.0013075707701663741,0,Đúng,-0.10375742922983364
