traffic_mean,traffic_std,packet_rate,packet_variance,active_hosts,traffic_entropy,label
-62.667,8.078,1.8,65.25,9,3.359,0
-33.25,4.854,4.0,23.566,20,3.338,1
-58.545,5.854,2.2,34.273,11,3.511,1
-63.333,8.217,2.4,67.515,12,3.281,0
-66.167,9.283,1.2,86.167,6,3.417,0
-65.444,7.161,1.8,51.278,9,3.422,0
-63.933,7.769,3.0,60.352,15,3.409,0
-61.667,8.533,3.0,72.81,15,3.34,0
-60.333,7.005,1.2,49.067,6,3.315,0
-66.9,7.578,2.0,57.433,10,3.435,0
-61.571,9.693,1.4,93.952,7,3.304,0
-66.091,7.661,2.2,58.691,11,3.298,0
-65.143,5.146,1.4,26.476,7,3.31,0
-63.692,8.92,2.6,79.564,13,3.369,0
-64.4,5.302,3.0,28.114,15,3.413,0
-63.0,8.649,1.2,74.8,6,3.264,0
-62.786,8.631,2.8,74.489,14,3.414,0
-62.182,7.96,2.2,63.364,11,3.381,0
-58.778,6.778,1.8,45.944,9,3.408,0
-61.5,10.095,1.2,101.9,6,3.371,0
-63.4,7.635,1.0,58.3,5,3.272,0
-68.125,5.111,1.6,26.125,8,3.358,0
-59.917,5.9,2.4,34.811,12,3.404,1
-57.667,7.339,1.2,53.867,6,3.315,0
-63.333,6.638,2.4,44.061,12,3.467,0
-63.083,7.704,2.4,59.356,12,3.406,0
-62.533,7.745,3.0,59.981,15,3.373,0
-37.78,4.628,11.8,21.416,59,3.287,1
-62.222,4.738,1.8,22.444,9,3.31,0
-60.083,5.946,2.4,35.356,12,3.443,1
-61.786,6.908,2.8,47.72,14,3.401,0
-65.125,6.728,1.6,45.268,8,3.432,0
-61.727,5.605,2.2,31.418,11,3.365,1
-61.833,10.226,1.2,104.567,6,3.363,0
-63.8,7.803,3.0,60.886,15,3.376,0
-63.167,9.239,1.2,85.367,6,3.328,0
-63.333,8.047,1.8,64.75,9,3.341,0
-59.333,7.09,1.2,50.267,6,3.376,0
-62.833,8.424,1.2,70.967,6,3.44,0
-37.0,4.406,17.8,19.409,89,3.269,1
-60.889,8.824,1.8,77.861,9,3.439,0
-62.714,8.175,2.8,66.835,14,3.361,0
-32.857,5.789,2.8,33.516,14,3.392,1
-57.875,6.999,1.6,48.982,8,3.462,0
-61.6,4.402,2.0,19.378,10,3.392,0
-63.4,7.347,3.0,53.971,15,3.425,0
-59.4,4.827,1.0,23.3,5,3.447,0
-63.769,7.037,2.6,49.526,13,3.392,0
-61.364,6.423,2.2,41.255,11,3.325,0
-60.923,4.958,2.6,24.577,13,3.268,0
-59.571,6.936,2.8,48.11,14,3.372,0
-59.0,6.723,1.2,45.2,6,3.411,0
-37.403,4.476,13.4,20.032,67,3.305,1
-59.111,6.604,1.8,43.611,9,3.457,0
-64.571,7.115,1.4,50.619,7,3.352,0
-62.786,6.796,2.8,46.181,14,3.434,0
-64.889,6.791,1.8,46.111,9,3.359,0
-62.846,7.221,2.6,52.141,13,3.472,0
-65.5,7.012,2.0,49.167,10,3.435,0
-61.222,7.934,1.8,62.944,9,3.344,0
-64.143,6.719,1.4,45.143,7,3.389,0
-65.462,8.161,2.6,66.603,13,3.346,0
-63.727,6.958,2.2,48.418,11,3.377,0
-67.111,5.442,1.8,29.611,9,3.39,0
-62.545,8.982,2.2,80.673,11,3.339,0
-61.25,7.851,1.6,61.643,8,3.537,0
-61.5,7.892,1.6,62.286,8,3.464,0
-59.778,4.944,1.8,24.444,9,3.314,1
-58.909,6.774,2.2,45.891,11,3.45,0
-62.8,9.365,1.0,87.7,5,3.275,0
-67.714,8.674,1.4,75.238,7,3.374,0
-62.0,7.803,2.0,60.889,10,3.405,0
-61.889,5.349,1.8,28.611,9,3.387,0
-61.111,8.536,1.8,72.861,9,3.299,0
-33.571,4.071,2.8,16.571,14,3.338,1
-59.857,9.026,1.4,81.476,7,3.345,0
-61.4,8.897,2.0,79.156,10,3.378,0
-63.625,6.589,1.6,43.411,8,3.43,0
-61.5,7.251,1.6,52.571,8,3.481,0
-63.0,7.884,2.8,62.154,14,3.347,0
-63.833,9.326,1.2,86.967,6,3.291,0
-61.417,8.775,2.4,76.992,12,3.392,0
-63.857,7.669,1.4,58.81,7,3.411,0
-58.2,7.294,1.0,53.2,5,3.333,0
-62.833,4.167,1.2,17.367,6,3.414,0
-63.429,7.48,1.4,55.952,7,3.389,0
-60.167,7.334,2.4,53.788,12,3.389,0
